subdivision_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
GB-BNS,GB-BNS.svg,240.123,SVG,"(303, 300)",0.99,,100,,"#007fc2,#0085cc,#009ee3,#282321,#302682,#302b82,#333f45,#336366,#33942e,#354f73,#3ab5e8,#3f4217,#4a5961,#4aab33,#63420a,#636161,#6e4a0c,#787878,#78cae3,#7a5411,#7a5c11,#7d97a3,#821951,#82cff5,#8f5917,#991714,#9e7842,#a31914,#a35117,#bd1c1c,#bd5c17,#c21717,#c5c5c5,#ca1417,#cc1417,#d11117,#dec7d1,#fad4de,#fae8cc,#ffe300,#ffeb00,#fff"
GB-BRD,GB-BRD.png,1920.854,PNG,"(2475, 4121)",1.67,,0.96,,
GB-BST,GB-BST.jpg,386.691,JPG,"(1200, 2000)",1.67,,23.25,,
GB-BUR,GB-BUR.png,13.267,PNG,"(216, 432)",2.0,,17.3,,
GB-CAM,GB-CAM.svg,22.147,SVG,"(390, 650)",1.67,,80,,"#043f9f,#8cb9ad,#fcdb0f,#ff0"
GB-CBF,GB-CBF.svg,2.831,SVG,"(600, 1000)",1.67,,18,,"#005eb8,#da291c,#ffd100,#fff"
GB-CGN,GB-CGN.svg,14.208,SVG,"(450, 720)",1.6,,64,,"#000000,#d40000,#ffcc00,#ffffff"
GB-CHE,GB-CHE.png,14.842,PNG,"(223, 372)",1.67,,13.38,,
GB-CHW,GB-CHW.svg,84.999,SVG,"(360, 600)",1.67,,100,,"#0032a0,#ffd100"
GB-CMA,GB-CMA.svg,54.993,SVG,"(574, 956)",1.67,,100,,"#0866b7,#0d4039,#398541,#3a6673,#3b8536,#3c4919,#630000,#b1b1b1,#d60000,#e6e6e6,#eed706,#ffd649,#fff"
GB-CMN,GB-CMN.png,10.911,PNG,"(216, 359)",1.66,,23.03,,
GB-CON,GB-CON.svg,0.206,SVG,"(300, 500)",1.67,,4,,#fff
GB-COV,GB-COV.svg,33.345,SVG,"(567, 945)",1.67,,100,,"#000000,#5b97b1,#a9aaab,#ffffff"
GB-CRF,GB-CRF.svg,21.973,SVG,"(256, 426)",1.66,,76,,"#000000,#002a01,#003403,#004011,#00743f,#225aa6,#44886b,#8b7600,#d2ab00,#dae7e1,#db000d,#fafa00,#ffffff"
GB-DBY,GB-DBY.svg,6.644,SVG,"(600, 900)",1.5,,16,,"#7daed7,#fc0"
GB-DEN,GB-DEN.png,14.152,PNG,"(305, 506)",1.66,,63.28,,
GB-DEV,GB-DEV.svg,0.403,SVG,"(300, 516)",1.72,,10,,"#000,#00824a,#fff"
GB-DNC,GB-DNC.jpg,201.206,JPG,"(900, 1800)",2.0,,3.31,,
GB-DND,GB-DND.png,1170.725,PNG,"(2475, 4125)",1.67,,0.31,,
GB-DOR,GB-DOR.svg,0.32,SVG,"(254, 424)",1.67,,6,,#f8d80e
GB-DRS,GB-DRS.png,84.102,PNG,"(565, 1000)",1.77,,12.09,,
GB-DUD,GB-DUD.png,56.153,PNG,"(1800, 3000)",1.67,,20.27,,
GB-DUR,GB-DUR.svg,69.312,SVG,"(1200, 2000)",1.67,,100,,"#0033ab,#432918,#96877d,#f3f2f4,#f7e017,#fcc917,#fcdd09,#fff"
GB-EAL,GB-EAL.png,59.663,PNG,"(256, 384)",1.5,,52.84,,
GB-EAY,GB-EAY.jpg,32.755,JPG,"(383, 612)",1.6,,35.31,,
GB-EDH,GB-EDH.svg,37.079,SVG,"(255, 426)",1.67,,100,,"#363636,#645900,#973b00,#b38c00,#d1081d,#fff"
GB-ELN,GB-ELN.svg,38.84,SVG,"(540, 900)",1.67,,98,,"#001d4f,#0067c6,#dc241f,#ffc726,#ffffff"
GB-ELS,GB-ELS.svg,4.143,SVG,"(600, 900)",1.5,,74,,"#000,#000080,#fc0,#fff"
GB-ENG,GB-ENG.svg,0.233,SVG,"(480, 640)",1.33,,6,,"#ce1124,#fff"
GB-ERW,GB-ERW.svg,9.719,SVG,"(200, 396)",1.98,,4,,"#007ac3,#7cc242"
GB-ERY,GB-ERY.svg,18.541,SVG,"(600, 1)",0.0,,100,,"#005eb8,#658d1b,#78be20,#c0b661,#ffcd00,#ffffff"
GB-ESS,GB-ESS.svg,3.297,SVG,"(300, 450)",1.5,,32,,"#96877d,#cf142b,#f7e017,#fff"
GB-ESX,GB-ESX.svg,13.497,SVG,"(260, 429)",1.65,,56,,"#000,#fcc917,#fff"
GB-FAL,GB-FAL.svg,94.407,SVG,"(242, 413)",1.71,,100,,"#1c4f9c,#ef3638,#fff"
GB-FLN,GB-FLN.svg,62.931,SVG,"(600, 1000)",1.67,,74,,#fff
GB-FMO,GB-FMO.svg,0.205,SVG,"(300, 600)",2.0,,4,,"#319400,#fff"
GB-GLG,GB-GLG.svg,17.295,SVG,"(360, 600)",1.67,,74,,"#47542f,#4e4941,#4e711e,#515044,#694f2d,#695635,#6e904b,#856e4f,#a6b5b4,#bb8b3a,#de7246,#efbe23,#fff"
GB-GLS,GB-GLS.svg,0.631,SVG,"(500, 1000)",2.0,,10,,"#0072bb,#69c071,#f3eacd"
GB-GWN,GB-GWN.svg,49.163,SVG,"(500, 500)",1.0,,100,,"#1353b4,#a30000,#ffd128"
GB-HAM,GB-HAM.svg,40.287,SVG,"(300, 450)",1.5,,100,,"#000,#002b7f,#144d29,#337321,#3e8225,#87212e,#96877d,#c00,#cf142b,#f7e017,#fcc917,#fff"
GB-HCK,GB-HCK.png,9.876,PNG,"(216, 360)",1.67,,69.02,,
GB-HEF,GB-HEF.svg,23.924,SVG,"(567, 945)",1.67,,48,,"#0a51a1,#9e1b34,#ffffff"
GB-HPL,GB-HPL.jpeg,18.586,JPEG,"(408, 244)",0.6,,40.36,,
GB-HRT,GB-HRT.svg,44.28,SVG,"(1200, 2)",0.0,,84,,"#000000,#005eb8,#4e0400,#54261c,#673701,#944c00,#b1b1b1,#ffcd00,#ffffff"
GB-HRY,GB-HRY.png,5.891,PNG,"(216, 324)",1.5,,45.15,,
GB-IOS,GB-IOS.svg,1.377,SVG,"(600, 1000)",1.67,,16,,"#0057a3,#f7af1b,#fff"
GB-IOW,GB-IOW.svg,0.729,SVG,"(300, 500)",1.67,,8,,"#012a87,#5881bb,#fff"
GB-ISL,GB-ISL.png,10.104,PNG,"(216, 432)",2.0,,34.01,,
GB-KEN,GB-KEN.svg,15.731,SVG,"(300, 400)",1.33,,22,,"#000,#d40000,#fff"
GB-KHL,GB-KHL.png,1530.254,PNG,"(2468, 4124)",1.67,,1.55,,
GB-KTT,GB-KTT.png,4.928,PNG,"(216, 432)",2.0,,19.94,,
GB-LAN,GB-LAN.svg,184.221,SVG,"(260, 430)",1.65,,100,,"#0a0a01,#169051,#198430,#1d7710,#227000,#5a510d,#6b2613,#7d7d7d,#8b0000,#a59408,#af0104,#d5ae0a,#d9000b,#dac129,#f7d70e,#fefefe"
GB-LBC,GB-LBC.png,179.604,PNG,"(600, 1000)",1.67,,11.55,,
GB-LCE,GB-LCE.png,38.617,PNG,"(312, 513)",1.64,,17.28,,
GB-LDS,GB-LDS.png,1060.926,PNG,"(2477, 4123)",1.66,,0.98,,
GB-LEC,GB-LEC.svg,24.055,SVG,"(210, 350)",1.67,,50,,"#000000,#e72f2a,#ffffff"
GB-LIN,GB-LIN.svg,1.622,SVG,"(540, 900)",1.67,,12,,"#0038a8,#009e49,#ce1126,#f9d616"
GB-LND,GB-LND.svg,2.888,SVG,"(300, 500)",1.67,,26,,"#cf142b,#fff"
GB-LUT,GB-LUT.png,1753.688,PNG,"(2479, 4136)",1.67,,5.34,,
GB-MAN,GB-MAN.svg,69.144,SVG,"(1200, 2000)",1.67,,28,,"#ec2029,#ffcb41"
GB-MEA,GB-MEA.png,51.908,PNG,"(280, 840)",3.0,,16.25,,
GB-MON,GB-MON.svg,1.877,SVG,"(300, 500)",1.67,,14,,"#1478c7,#231f20,#fee111"
GB-MRY,GB-MRY.svg,11.151,SVG,"(600, 1)",0.0,,26,,"#00722a,#01267f,#f1aa00"
GB-MUL,GB-MUL.png,20.284,PNG,"(558, 1000)",1.79,,6.0,,
GB-NBL,GB-NBL.svg,0.325,SVG,"(375, 600)",1.6,,6,,"#cf142b,#f7e017"
GB-NET,GB-NET.png,9.023,PNG,"(216, 363)",1.68,,26.92,,
GB-NFK,GB-NFK.svg,0.715,SVG,"(390, 650)",1.67,,14,,"#ffc627,#fff"
GB-NGM,GB-NGM.svg,6.25,SVG,"(555, 1)",0.0,,14,,"#1a5a06,#c00,#fff"
GB-NIR,GB-NIR.svg,24.746,SVG,"(480, 640)",1.33,,100,,"#0f6545,#121116,#1f2d86,#707c8b,#8f322f,#916c68,#9f1209,#a3afb8,#aa675d,#b02320,#b3a192,#c00,#cca715,#cecfc1,#e2a494,#ebeae3,#eee,#f0ddcb,#f5d8bc,#f6ca1f,#fc0,#fff"
GB-NMD,GB-NMD.png,300.22,PNG,"(600, 1000)",1.67,,30.43,,
GB-NNH,GB-NNH.svg,6.962,SVG,"(360, 600)",1.67,,38,,"#00ab39,#00af3a,#9e1b34,#ffc726"
GB-NSM,GB-NSM.png,188.275,PNG,"(1200, 2000)",1.67,,6.13,,
GB-NTT,GB-NTT.svg,4.048,SVG,"(1445, 2609)",1.81,,20,,"#1a5a06,#cc0001,#ffffff"
GB-NWP,GB-NWP.jpeg,23.546,JPEG,"(216, 360)",1.67,,2.94,,
GB-OLD,GB-OLD.png,12.158,PNG,"(216, 431)",2.0,,49.65,,
GB-ORK,GB-ORK.svg,0.403,SVG,"(800, 1100)",1.38,,10,,"#005ac8,#d22b2d,#ffff19"
GB-OXF,GB-OXF.svg,329.496,SVG,"(1772, 2953)",1.67,,0,,
GB-PEM,GB-PEM.svg,8.994,SVG,"(257, 426)",1.66,,42,,"#0b51a1,#179354,#820000,#bca800,#db000d,#fceb0f,#fff"
GB-PLY,GB-PLY.svg,3.508,SVG,"(800, 1600)",2.0,,10,,"#000,#fff"
GB-POR,GB-POR.svg,1.396,SVG,"(480, 800)",1.67,,8,,"#0038a6,#fecb00"
GB-POW,GB-POW.svg,31.467,SVG,"(450, 720)",1.6,,74,,"#2b2200,#377bc8,#800000,#9c0000,#cd0707,#d32632,#fee450,#ffffff"
GB-PTE,GB-PTE.png,575.797,PNG,"(2480, 4135)",1.67,,5.51,,
GB-RCT,GB-RCT.svg,4.584,SVG,"(202, 300)",1.49,,2,,#821930
GB-RDB,GB-RDB.jpeg,53.261,JPEG,"(250, 235)",0.94,,100,,
GB-RIC,GB-RIC.svg,1010.637,SVG,"(1024, 1048)",1.02,,100,,"#002163,#0a0a0a,#165fcf,#1665dc,#1d4bab,#2052bb,#214478,#303030,#383838,#454545,#46712b,#4d4d4d,#4e7b2f,#540,#548630,#5e9436,#69a141,#6c6753,#800000,#806600,#830000,#8e8e8e,#91191c,#918a6f,#9d9d9d,#a00,#a30000,#a60712,#a6d6bc,#a7a7a7,#ae0000,#b3b3b3,#b60d21,#c00000,#c0c0c0,#c40000,#c59d00,#c60a18,#cb1227,#ccc,#ce0f25,#d40000,#d5d5d0,#d80000,#d9d9d9,#da0000,#dc2c35,#ddad00,#e0e0e0,#e3c500,#e6e6e6,#e82d38,#e9001a,#ececec,#f00,#f0d100,#f0f0ec,#f3dd6e,#f4f4f0,#f4f4f4,#f8ec9c,#ffe116,#ffe24b,#ffea5c,#fff,#fff08b,#fff2ac"
GB-RUT,GB-RUT.svg,4.229,SVG,"(1200, 2000)",1.67,,22,,"#009e58,#ffd51d"
GB-SAW,GB-SAW.png,874.263,PNG,"(1989, 1500)",0.75,,14.58,,
GB-SCT,GB-SCT.svg,0.223,SVG,"(480, 640)",1.33,,4,,#0065bd
GB-SFK,GB-SFK.svg,5.863,SVG,"(1772, 2954)",1.67,,62,,"#0065c4,#15314d,#b28c0b,#fdcc00"
GB-SFT,GB-SFT.png,54.869,PNG,"(600, 1000)",1.67,,6.65,,
GB-SHF,GB-SHF.png,11.23,PNG,"(216, 360)",1.67,,28.73,,
GB-SHR,GB-SHR.svg,57.319,SVG,"(144, 240)",1.67,,100,,"#0b4a8d,#191a19,#ebd900,#feea00,#ffec00"
GB-SLK,GB-SLK.png,252.794,PNG,"(1440, 2640)",1.83,,4.87,,
GB-SOM,GB-SOM.svg,18.169,SVG,"(1800, 3000)",1.67,,78,,"#0072c6,#ce1126,#f9d616"
GB-SOS,GB-SOS.png,7.414,PNG,"(216, 324)",1.5,,23.24,,
GB-SRY,GB-SRY.svg,0.369,SVG,"(300, 500)",1.67,,4,,"#0100a8,#ffd42a"
GB-STG,GB-STG.svg,22.422,SVG,"(600, 1000)",1.67,,100,,"#000000,#005eb8,#1e82d2,#b4001e,#ffffff"
GB-STH,GB-STH.png,63.678,PNG,"(784, 1396)",1.78,,6.25,,
GB-STS,GB-STS.svg,76.415,SVG,"(319, 532)",1.67,,100,,"#231f20,#e22739,#fcd213"
GB-STY,GB-STY.png,942.621,PNG,"(1989, 1500)",0.75,,9.93,,
GB-SWA,GB-SWA.jpeg,37.15,JPEG,"(216, 360)",1.67,,41.91,,
GB-SWD,GB-SWD.png,10.247,PNG,"(216, 359)",1.66,,17.35,,
GB-TOB,GB-TOB.png,5.843,PNG,"(216, 322)",1.49,,17.52,,
GB-VGL,GB-VGL.svg,0.261,SVG,"(420, 700)",1.67,,4,,"#e4383f,#fff"
GB-WAR,GB-WAR.svg,20.894,SVG,"(800, 1)",0.0,,92,,"#dd221d,#ffffff"
GB-WBK,GB-WBK.svg,84.722,SVG,"(230, 384)",1.67,,100,,"#007935,#027433,#6e361c,#75391c,#9c2b1f,#9f2d20,#a16a38,#c2531b,#ffd100"
GB-WFT,GB-WFT.svg,989.409,SVG,"(1007, 875)",0.87,,100,,"#0a234d,#104698,#1662d5,#1e1e1e,#218b4d,#21ad5e,#21cb6d,#276842,#2b2200,#2e5994,#329f60,#338000,#353535,#373737,#387fea,#3b5625,#3d3d3d,#42a465,#454545,#46712b,#4d4d4d,#4e7b2f,#500,#50965d,#509669,#515151,#51955d,#519569,#540,#548630,#54a051,#579d54,#589c55,#58a561,#59a461,#5aa357,#5ca459,#5ca558,#5e9436,#693310,#69a141,#6cac65,#70551f,#75b16e,#784421,#7b3c13,#7b6231,#7db473,#7eb373,#800000,#806600,#9d9d9d,#9f7325,#a60712,#a7a7a7,#aa7a26,#ac5d28,#ac8800,#b3b3b3,#b60d21,#bc842a,#bf9041,#c0c0c0,#c40000,#c46a2e,#c9a260,#cb1227,#cbb13b,#ccc,#cf9331,#d1b948,#d1ba4a,#d2773a,#d4aa00,#d5b682,#d5d5d0,#d80000,#d9d9d9,#dca33e,#dec653,#dec865,#e1a844,#e6e6e6,#e9001a,#e94545,#e9b04e,#e9d579,#eac102,#ebd25d,#ececec,#f0f0ec,#f2da01,#f3de77,#f4f4f4,#f6e078,#f8ec9c,#f8f0c3,#fea,#fee46e,#ffd42a,#ffe680,#fff,#fff6d1,#fff6e5"
GB-WGN,GB-WGN.png,1299.292,PNG,"(1526, 1500)",0.98,,26.16,,
GB-WIL,GB-WIL.svg,6.982,SVG,"(210, 350)",1.67,,22,,"#007c43,#ad9233,#fff"
GB-WLL,GB-WLL.png,63.496,PNG,"(990, 1650)",1.67,,4.03,,
GB-WLS,GB-WLS.svg,8.963,SVG,"(480, 640)",1.33,,10,,"#00ab39,#d21034,#fff"
GB-WNH,GB-WNH.svg,6.962,SVG,"(360, 600)",1.67,,38,,"#00ab39,#00af3a,#9e1b34,#ffc726"
GB-WOR,GB-WOR.svg,8.811,SVG,"(481, 800)",1.66,,24,,
GB-WSX,GB-WSX.svg,5.631,SVG,"(260, 429)",1.65,,20,,"#0000ff,#fcc917"
GB-YOR,GB-YOR.svg,102.726,SVG,"(600, 1000)",1.67,,100,,"#007fff,#e00000,#ff0,#ffdf00,#fff"
GB-ZET,GB-ZET.svg,0.413,SVG,"(4000, 6000)",1.5,,6,,"#0065cc,#ffffff"
GE-AB,GE-AB.svg,1.729,SVG,"(300, 600)",2.0,,26,,"#00993e,#c8312a,#fff"
GE-AJ,GE-AJ.svg,0.803,SVG,"(600, 900)",1.5,,12,,#fff
GE-GU,GE-GU.svg,1.727,SVG,"(619, 929)",1.5,,8,,"#144d29,#c50c2f,#fdfdfd,#fefefe"
GE-IM,GE-IM.svg,3.416,SVG,"(619, 929)",1.5,,22,,"#00b7ff,#d6f3ff,#d9f4ff,#fefeff,#fefffe"
GE-KA,GE-KA.svg,0.198,SVG,"(300, 500)",1.67,,4,,"#50e3c2,#7ed321"
GE-KK,GE-KK.png,59.337,PNG,"(666, 1000)",1.5,,10.93,,
GE-MM,GE-MM.png,31.933,PNG,"(667, 1000)",1.5,,3.94,,
GE-RL,GE-RL.svg,1.981,SVG,"(600, 900)",1.5,,6,,"#2e9771,#ffcb21,#ffffff"
GE-SJ,GE-SJ.svg,49.797,SVG,"(460, 690)",1.5,,6,,"#00aad4,#f4a460,#ffffff"
GE-SK,GE-SK.svg,4.68,SVG,"(600, 1000)",1.67,,12,,"#0000ff,#3f82ff,#800000,#ffcc4a,#ffffff"
GE-SZ,GE-SZ.png,10.419,PNG,"(600, 900)",1.5,,3.74,,
GE-TB,GE-TB.svg,57.127,SVG,"(760, 1360)",1.79,,42,,"#2384c6,#bfa469,#ce2030,#fff"
GH-AA,GH-AA.svg,2.938,SVG,"(216, 324)",1.5,,8,,"#000000,#009000,#ffff00,#ffffff"
GH-AH,GH-AH.svg,0.468,SVG,"(400, 600)",1.5,,12,,"#000,#090,#ff0,#fff"
GH-CP,GH-CP.png,1.747,PNG,"(232, 306)",1.32,,14.9,,
GH-EP,GH-EP.svg,2.988,SVG,"(216, 324)",1.5,,8,,"#000000,#009000,#ffff00,#ffffff"
GH-TV,GH-TV.png,2.546,PNG,"(533, 800)",1.5,,3.79,,
GH-WP,GH-WP.png,2.146,PNG,"(237, 378)",1.59,,29.22,,
GL-AV,GL-AV.png,11.736,PNG,"(216, 432)",2.0,,10.28,,
GL-KU,GL-KU.svg,21.645,SVG,"(640, 960)",1.5,,38,,
GL-QE,GL-QE.svg,2.89,SVG,"(640, 960)",1.5,,26,,#c5d3d4
GL-QT,GL-QT.png,13.063,PNG,"(216, 431)",2.0,,25.89,,
GL-SM,GL-SM.svg,5.115,SVG,"(640, 960)",1.5,,36,,
GM-B,GM-B.svg,56.535,SVG,"(1000, 1500)",1.5,,100,,#0c1c8c
GR-69,GR-69.svg,150.161,SVG,"(400, 600)",1.5,,4,,"#000000,#ffcc00"
GR-A,GR-A.svg,0.563,SVG,"(600, 900)",1.5,,6,,"#036,#fc3"
GR-B,GR-B.svg,0.563,SVG,"(600, 900)",1.5,,6,,"#036,#fc3"
GR-C,GR-C.svg,0.563,SVG,"(600, 900)",1.5,,6,,"#036,#fc3"
GT-01,GT-01.svg,87.443,SVG,"(270, 420)",1.56,,100,,"#131d2d,#203e1f,#324f7c,#507e3a,#6d4a28,#6d7531,#795421,#7c431c,#898734,#8ca13c,#8e572b,#966834,#a39b7c,#b6b272,#b82826,#bbbda2,#c6b095,#cba868,#d4ab7a,#d69829,#d8cf95,#d8d0a5,#e1aa83,#e4922b,#ecb735,#eec382,#f2eba1,#f8ec14,#faf4b2,#fcd30b,#ffffff"
GT-02,GT-02.jpg,7.511,JPG,"(196, 293)",1.49,,46.32,,
GT-03,GT-03.svg,72.359,SVG,"(886, 1417)",1.6,,100,,"#131c2d,#1a8c44,#203e1f,#324f7c,#507e3a,#6d4a28,#6d7531,#795421,#7c431c,#898734,#8ca13c,#8e572b,#966834,#a39b7c,#b6b272,#b82826,#bbbda2,#c6b095,#cba868,#d4ab7a,#d69829,#d8cf95,#d8d0a5,#e1aa83,#e4922b,#ecb735,#eec382,#f2eba1,#f8ec14,#faf4b2,#fcd30b,#fff"
GT-04,GT-04.png,14.452,PNG,"(217, 326)",1.5,,45.77,,
GT-05,GT-05.svg,41.563,SVG,"(1063, 1701)",1.6,,100,,
GT-06,GT-06.png,5.92,PNG,"(217, 324)",1.49,,39.85,,
GT-07,GT-07.svg,0.748,SVG,"(444, 667)",1.5,,6,,"#1fac26,#fbff2f"
GT-08,GT-08.svg,72.299,SVG,"(1642, 2719)",1.66,,100,,"#30a947,#87decd,#a57b29,#ad7b10,#c39232,#d40000,#de8787,#dea539,#fbe710,#fff"
GT-09,GT-09.png,7.145,PNG,"(217, 325)",1.5,,31.95,,
GT-10,GT-10.png,33.51,PNG,"(505, 799)",1.58,,7.26,,
GT-11,GT-11.png,6.544,PNG,"(217, 326)",1.5,,31.51,,
GT-12,GT-12.png,5.244,PNG,"(217, 326)",1.5,,18.23,,
GT-13,GT-13.png,7.392,PNG,"(217, 343)",1.58,,44.82,,
GT-14,GT-14.png,33.955,PNG,"(350, 600)",1.71,,29.04,,
GT-15,GT-15.png,26.06,PNG,"(325, 540)",1.66,,19.34,,
GT-16,GT-16.svg,68.147,SVG,"(886, 1417)",1.6,,100,,"#27391e,#42469c,#5f69b1,#659ed5,#67923d,#82a53c,#8e8e8e,#aa962e,#e2206f,#f05b7b,#f2cb27,#fbd707,#fd0,#fff"
GT-17,GT-17.png,21.092,PNG,"(335, 559)",1.67,,23.49,,
GT-18,GT-18.png,5.617,PNG,"(216, 324)",1.5,,5.27,,
GT-19,GT-19.png,18.658,PNG,"(400, 705)",1.76,,7.85,,
GT-20,GT-20.jpg,164.45,JPG,"(1080, 1920)",1.78,,2.06,,
GT-21,GT-21.svg,39.236,SVG,"(471, 701)",1.49,,100,,"#006331,#009c31,#00ceff,#010101,#168827,#1c9340,#9acc9a,#9b9b67,#b8b88e,#e6e6e6,#ee252d,#f7f7c6,#f80000,#ff0000,#ffc90e,#ffce00,#ffffff"
GT-22,GT-22.png,17.511,PNG,"(217, 326)",1.5,,92.66,,
GW-BS,GW-BS.png,648.144,PNG,"(1000, 1600)",1.6,,2.73,,
GY-BA,GY-BA.png,11.362,PNG,"(216, 324)",1.5,,30.44,,
GY-CU,GY-CU.svg,0.516,SVG,"(900, 1500)",1.67,,6,,"#00892f,#fedd00,#ffffff"
GY-DE,GY-DE.svg,0.438,SVG,"(600, 1)",0.0,,4,,"#000000,#e10600"
GY-EB,GY-EB.svg,0.434,SVG,"(600, 900)",1.5,,4,,"#00892f,#e10600"
GY-ES,GY-ES.svg,1.878,SVG,"(400, 600)",1.5,,6,,"#009900,#ffffff"
GY-MA,GY-MA.svg,0.363,SVG,"(300, 500)",1.67,,4,,"#000,#078930"
GY-PM,GY-PM.svg,0.367,SVG,"(300, 500)",1.67,,4,,"#078930,#ffffff"
GY-PT,GY-PT.svg,0.495,SVG,"(900, 1800)",2.0,,6,,"#000000,#00892f,#fedd00"
GY-UD,GY-UD.svg,0.371,SVG,"(300, 500)",1.67,,4,,"#000,#fcdd09"
GY-UT,GY-UT.svg,0.323,SVG,"(300, 500)",1.67,,6,,"#078930,#da121a,#fff"
HN-CL,HN-CL.png,6.99,PNG,"(217, 414)",1.91,,28.75,,
HN-CM,HN-CM.png,159.548,PNG,"(652, 1079)",1.65,,14.61,,
HN-CP,HN-CP.svg,40.591,SVG,"(375, 600)",1.6,,60,,
HN-FM,HN-FM.svg,631.318,SVG,"(3256, 5021)",1.54,,100,,"#000000,#00002b,#002255,#002b00,#003380,#0044aa,#005500,#0055d4,#0066ff,#008000,#0b280b,#165016,#217821,#280b0b,#2a7fff,#2b0000,#2b1100,#501616,#502d16,#550000,#5599ff,#782121,#800000,#999999,#a02c2c,#aa0000,#aa8800,#aaccff,#b3b3b3,#c83737,#cccccc,#d40000,#d45500,#d4aa00,#e6e6e6,#eebc3c,#f1bd2a,#f1d22a,#f1e82a,#f2a328,#f2b528,#f2d328,#f7b012,#f7be25,#f7c725,#f7d225,#f7db25,#f7de25,#f7e025,#f7ea25,#ff0000,#ff9f00,#ffa300,#ffa700,#ffb800,#ffca2a,#ffcc00,#ffd231,#ffd42a,#ffdb00,#ffdc2a,#ffdd55,#ffe62a,#fff631,#ffff00,#ffffff"
HN-GD,HN-GD.png,26.268,PNG,"(769, 1148)",1.49,,9.01,,
HN-LE,HN-LE.png,29.667,PNG,"(756, 1134)",1.5,,1.91,,
HN-LP,HN-LP.png,28.846,PNG,"(756, 1134)",1.5,,0.28,,
HN-OC,HN-OC.svg,0.585,SVG,"(600, 900)",1.5,,6,,
HN-OL,HN-OL.jpg,113.482,JPG,"(416, 680)",1.63,,17.27,,
HN-SB,HN-SB.svg,0.513,SVG,"(600, 900)",1.5,,4,,
HN-YO,HN-YO.svg,291.543,SVG,"(800, 1324)",1.66,,100,,
HR-01,HR-01.svg,11.116,SVG,"(500, 1000)",2.0,,100,,
HR-02,HR-02.svg,1.371,SVG,"(596, 1200)",2.01,,10,,"#ff0000,#ffff00"
HR-03,HR-03.png,16.231,PNG,"(300, 600)",2.0,,16.37,,
HR-04,HR-04.svg,28.332,SVG,"(938, 1875)",2.0,,68,,"#0000cc,#ff0000,#ffcc00,#ffe800,#ffff00,#ffffff"
HR-05,HR-05.png,51.983,PNG,"(400, 900)",2.25,,17.03,,
HR-06,HR-06.png,26.348,PNG,"(300, 600)",2.0,,16.55,,
HR-07,HR-07.png,39.335,PNG,"(1000, 2000)",2.0,,12.52,,
HR-08,HR-08.png,36.687,PNG,"(400, 800)",2.0,,8.62,,
HR-09,HR-09.svg,20.652,SVG,"(300, 600)",2.0,,56,,"#010202,#3399ff,#528ecb,#f4e600,#ffff00,#ffffff"
HR-10,HR-10.png,12.365,PNG,"(300, 600)",2.0,,13.56,,
HR-11,HR-11.png,36.646,PNG,"(400, 800)",2.0,,10.77,,
HR-12,HR-12.svg,2.023,SVG,"(300, 600)",2.0,,20,,"#00c,#ff0,#fff"
HR-13,HR-13.png,21.223,PNG,"(300, 600)",2.0,,21.35,,
HR-14,HR-14.svg,13.603,SVG,"(1500, 3000)",2.0,,68,,"#003263,#3399ff,#cccccc,#ff0000,#ffcc00,#ffffff"
HR-15,HR-15.svg,11.822,SVG,"(350, 700)",2.0,,98,,"#00e5ff,#3cf,#f00,#ff0,#fff"
HR-16,HR-16.svg,8.836,SVG,"(400, 800)",2.0,,56,,"#0034b0,#090,#391200,#630,#fc0,#fff"
HR-17,HR-17.svg,9.22,SVG,"(213, 426)",2.0,,70,,"#007fab,#dfb346"
HR-18,HR-18.svg,76.83,SVG,"(600, 1200)",2.0,,12,,"#009938,#00adf0,#59b5e8,#ed1c24,#fff200"
HR-19,HR-19.png,92.303,PNG,"(216, 432)",2.0,,42.21,,
HR-20,HR-20.svg,0.531,SVG,"(300, 600)",2.0,,8,,"#3700fc,#f8001a,#fbfe2f,#fff"
HR-21,HR-21.svg,7.987,SVG,"(283, 522)",1.84,,66,,"#016db0,#01a4e6,#090,#c5c500,#f5df03,#ff0,#fff"
HU-BA,HU-BA.svg,230.188,SVG,"(425, 709)",1.67,,100,,"#231f20,#2b5df2,#5ab532,#e20909,#fcef3c,#fec3ac,#fff"
HU-BC,HU-BC.svg,639.75,SVG,"(600, 900)",1.5,,100,,"#014131,#5577a4,#7c1e30,#b1b0ae,#bf9f62,#c39f62,#c5e6ef"
HU-BE,HU-BE.svg,581.54,SVG,"(425, 709)",1.67,,100,,"#231f20,#2b5df2,#5ab532,#e20909,#fcef3c,#fff"
HU-BK,HU-BK.svg,65.146,SVG,"(425, 709)",1.67,,100,,"#2b5df2,#e20909,#f2c3ad,#f3b9ae,#fcef3c,#fff"
